text,summary
These changes can be seen in liver disease and portal hypertension,The liver has a severe disease called cirrhosis.
"There are multiple hypodense lesions in the liver (2:15, 2:19, 2:21), all too small to characterize but likely simple cysts",There are one or more masses in the liver which may be small cysts.
"Branching high-density material in the liver, concerning for portal vein thrombosis",The liver contains some air that may be inside a blood vessel. 
The liver appears to be fatty,There is increased amount of fat in the liver.
The liver is normal without focal lesions,The liver is likely normal.
Multiple small well-circumscribed hypoattenuating foci are seen throughout the liver,The liver may contain one or more cysts.
The transplanted liver is homogeneous in attenuation without gross focal lesions,Liver transplant was performed. Please see full radiology report. 
The right lobe of the liver demonstrates a hypoattenuating lesion in segment VI with vessels coursing along the periphery,There are one or more masses in the liver may be small cysts.
"There is a tiny focus of low attenuation in the left lobe of the liver, which is too small to characterize but may represent a simple hepatic cyst",There are tiny shadows in the liver that are too small to evaluate but they may be small cysts.
There are no gross lesions or intrahepatic biliary dilatation seen in the liver,The liver appears normal. 
"Multiple hypodense liver lesions are again noted, unchanged",The liver may contain one or more cysts.
The liver is shrunken and has a nodular appearance consistent with the patient's history of cirrhosis,The liver has a severe disease called cirrhosis.
"There is a tiny amount of fluid adjacent to the inferior tip of the transplant liver (series 2, image 37), and no free intraperitoneal air is identified",There is some abnormal fluid in the belly.
The liver is unremarkable without intra- or extra- hepatic biliary dilatation,The liver appears normal. 
Fatty liver.,There is increased amount of fat in the liver.
The non-contrast appearance of the liver is unremarkable except for the occasional calcified granuloma,The liver showed one or more areas of healed injury but otherwise appeared normal.
Tiny rounded hypodensity in the right lobe of the liver (4:27) is too small to characterize,There are tiny shadows in the liver that are too small to evaluate but they may be small cysts.
There is a 2.6 x 8.3 cm fluid collection with Hounsfield unit values of approximately 15 along the posterolateral aspect of the liver,There is a pocket of fluid seen inside the liver. 
Multiple foci of early enhancement are again noted within the liver,The liver showed one or more areas of abnormal brightness.
The liver appears unremarkable,The liver appears normal. 
"Mild-to-moderate intrahepatic biliary ductal dilatation, particularly in the left lobe of the liver, is new.",The liver ducts that carry digestive enzymes contains some air. 
The liver demonstrates altered enhancement of the left lobe relative to the right,The liver may have an injury or disease.
Tiny density in the lateral aspect of the right lobe of the liver that is too small to characterize,There are tiny shadows in the liver that are too small to evaluate but they may be small cysts.
"The liver demonstrates diffusely low attenuation, consistent with fatty infiltration",There is increased amount of fat in the liver.
There is a wedge shaped area of nonenhancement and hypoattenuation within the periphery of segment 2 of the liver,The liver showed one or more triangular areas of shadowing along the outside.
"There is a low attenuation lesion within the right anterior lobe of the liver on (series 2, image 12) that measures 1.7 x 1.3 cm",There are one or more masses/tumors in the liver.
Nondependent peripheral portal venous gas is seen predominantly within the left liver lobe,The liver contains some air that may be inside a blood vessel. 
1) Likely focal fat within the peripheral aspect of segment /B of the liver; if warranted it cvould be definitively characterized by MRI,There is increased amount of fat in the liver.
"A faint 6 mm hypoattenuating focus in segment II of the liver (2, 19) is similar, and remains too small to characterize",There are tiny shadows in the liver that are too small to evaluate but they may be small cysts.
3)  Stable multiple areas of low attenuation in the liver likely representing simple cysts,The liver may contain one or more cysts. 
"Cirrhotic liver, with splenomegaly, recanalized paraumbilical vein, and a large amount of ascites, increased from",The liver has a severe disease called cirrhosis. 
