text,summary
redemonstrated metastatic lesions throughout the left and right hepatic lobes many of which contain calcifications.,there are one or more masses in the liver.
liver is enlarged measuring cm in the midclavicular line there is hepatic steatosis with areas of focal sparing.,the liver is enlarged.
the liver measures cm in the craniocaudal axis.,The liver appears normal.
in the region of the ballistic fragment there is extensive artifact which limits assessment cannot exclude a small contusion in the right hepatic lobe.,The liver appears normal.
cirrhotic morphology of the liver.,the liver shows bumpynodular surface which can be seen with cirrhosis.
common bile duct appears diffusely dilated likely related to postcholecystectomy state with the diameter of mm.,The liver appears normal.
measures cm in craniocaudal plane possibly due to riedels lobe.,The liver appears normal.
a cm hypodense lesion in the left hepatic lobe not fully characterized on this unenhanced scan.,there are one or more lesions in the liver.
there is a hepatic lesion in the caudate lobe measuring x cm series image with peripheral nodular enhancement and central filling on delayed phase matching blood pool compatible with a hemangioma.,there is a benign mass in the liver which does not need any follow up.
no intrahepatic or extrahepatic biliary dilatation.,The liver appears normal.
hepatomegaly.,the liver is enlarged.
normal in contour and enhancement without focal parenchymal abnormality.,The liver appears normal.
these are stable from prior.,The liver appears normal.
small cysticappearing lesion between segment a and series image too small to characterize.,there are one or more lesions in the liver that are too small to be determined on this study.
no intrahepatic or extrahepatic biliary ductal dilatation.,The liver appears normal.
normal in contour.,The liver appears normal.
subcentimeter hypodense lesion in segment v too small to characterize series image subcentimeter cm hypodense lesion in hepatic segment iva series image.,there are one or more lesions in the liver that are too small to be determined on this study.
unremarkable.,The liver appears normal.
riedels hepatic lobe liver measures cm craniocaudal long axis.,The liver appears normal.
cirrhotic liver morphology with hypertrophy of the left lateral hepatic segment and subtle hepatic surface nodularity.,the liver shows bumpynodular surface which can be seen with cirrhosis.
normal in contour and attenuation.,The liver appears normal.
no definite suspicious focal mass within the limits of noncontrast technique noting that the most superior aspect of the dome of the liver is excluded from the fieldofview.,The liver appears normal.
stable cm simple liver cyst.,there are one or more cysts in the liver which is a benign finding that can be seen in many people.
subcentimeter hypodense foci seen within the left lobe of the liver which are too small to actually characterize.,there are one or more lesions in the liver that are too small to be determined on this study.
subcentimeter lesion inferior right hepatic lobe series image too small to characterize likely benign.,there are one or more lesions in the liver that are too small to be determined on this study.
no focal mass.,The liver appears normal.
liver is enlarged measuring cm in craniocaudal dimension no focal hepatic lesion.,the liver is enlarged.
homogenous in attenuation.,The liver appears normal.
no change in scattered hepatic cysts and additional subcentimeter low attenuating lesions too small to accurately characterize by ct.,there are one or more lesions in the liver some of which are benign cysts while others that are smaller and cannot be determined based on this study.
liver measures cm in craniocaudal long axis.,The liver appears normal.
no focal parenchymal abnormality.,The liver appears normal.
visualized portions are grossly unremarkable.,The liver appears normal.
no definite suspicious focal mass within the limits of noncontrast technique.,The liver appears normal.
diffuse lowattenuation of liver may reflect hepatic steatosis.,there is increased amount of fat in the liver.
indeterminate punctate hyperdensity in the inferior right hepatic lobe series image may be postsurgical in nature or less likelypossibly posttraumatic foreign body clinical assessment.,there is a benign finding in the liver possibly from old trauma or infection.
heterogeneous hepatic parenchymal enhancement compatible with steatosis andor hepatic parenchymal disease.,there is abnormal appearance to the liver which can sometimes be caused by how the study was performed.
measures cm in the midclavicular line.,The liver appears normal.
normal in contour and enhancement without focal lesions.,The liver appears normal.
mild hepatomegaly measuring cm although this may be associated to a riedels lobe.,the liver is enlarged.
no suspicious focal mass and measures cm in craniocaudal dimension.,The liver appears normal.
liver normal size at cm in craniocaudal long axis homogenous in attenuation.,The liver appears normal.
redemonstration of a multiloculated abscess in the right lobe extending across segments with pockets of gas noted within.,there is an infection in the liver.
punctuate calcifications likely calcified granulomas.,there isare benign calcifications in the liver which does not need any follow up.
again seen are hyperenhancing liver lesions.,there are one or more lesions in the liver.
subcentimeter hypoattenuating lesion within the left hepatic lobe too small to characterize.,there are one or more lesions in the liver that are too small to be determined on this study.
there is a large lobulated hypoattenuating mass involving the majority of hepatic segments iiiii measuring x x cm with several surrounding smaller masses for example series images and.,there are one or more masses in the liver.
overall lesions appear stable compared to prior from.,The liver appears normal.
no discrete lesions identified within the liver.,The liver appears normal.
normal sized liver measuring cm.,The liver appears normal.
lesion in segment viii measures x cm series image and the lesion in segment ii measures x cm series image these are grossly stable in size from prior study although slightly less hyperenhancing relative to surrounding liver parenchyma which may be related to differences in timing.,The liver appears normal.
there is a x cm posterior right hepatic lobe lowattenuation lesion most compatible with a hemangioma as previously characterized.,there are one or more lesions in the liver.
calcified granuloma in the inferior right hepatic lobe.,there isare benign calcifications in the liver which does not need any follow up.
there are subcentimeter low attenuations lesions too small to characterize statistically likely to represent cysts.,there are one or more lesions in the liver that are too small to be determined on this study.
normal size and attenuation.,The liver appears normal.
heterogeneous liver parenchyma with liver surface nodularity consistent with cirrhotic morphology.,the liver shows bumpynodular surface which can be seen with cirrhosis.
no focal parenchymal abnormality slightly heterogeneous enhancement may reflect underlying fibrofatty changeperfusional abnormality.,there is abnormal appearance to the liver which can sometimes be caused by how the study was performed.
no focal lesion.,The liver appears normal.
normal contour and size of the liver.,The liver appears normal.
smooth liver contour no focal mass.,The liver appears normal.
heterogeneous hepatic parenchymal hypoenhancement may be on the basis of steatosis andor hepatic parenchymal disease.,there is abnormal appearance to the liver which can sometimes be caused by how the study was performed.
normal in size and contour.,The liver appears normal.
probable diffuse hepatic steatosis.,there is increased amount of fat in the liver.
probable surface nodularity likely indicating cirrhosis.,the liver shows bumpynodular surface which can be seen with cirrhosis.
mildly heterogeneous parenchymal enhancement with no discrete focal lesion significant improvement in previously seen parenchymal hypoattenuationsteatosis.,there is abnormal appearance to the liver which can sometimes be caused by how the study was performed.
homogenous without suspicious focal mass.,The liver appears normal.
hepatomegaly measuring cm.,the liver is enlarged.
subcentimeter hypodensity at the dome of the liver is too small to characterize but likely benign liver is normal in size measuring cm in craniocaudal long axis.,there are one or more lesions in the liver that are too small to be determined on this study.
subcentimeter hypoattenuating lesion in segment iva series image too small to accurately characterize but stable from prior.,there are one or more lesions in the liver.
liver is enlarged measuring cm in craniocaudal dimension periportal edema noted.,the liver is enlarged.
mm hyperenhancing focus within the inferior right hepatic lobe series image.,there are one or more lesions in the liver.
liver is normal in contour and normal in size measuring cm in craniocaudal long axis.,The liver appears normal.
uniformly isoattenuating liver and spleen and no focal intrahepatic abnormality.,The liver appears normal.
the liver measures in the craniocaudal axis.,The liver appears normal.
subcentimeter hypodensity adjacent to the gallbladder to small to further characterize possibly representing small cyst series image.,there are one or more lesions in the liver that are too small to be determined on this study.
evidence of a subcapsular left lobe segment mm hepatic laceration noted series image.,there is an injury to the liver.
there are subcentimeter low attenuations lesions too small to characterize statistically likely to represent cysts or hemangiomas.,there are one or more lesions in the liver that are too small to be determined on this study.
normal in contour and enhancement without focal lesions within the limits of this study.,The liver appears normal.
the liver measures cm in the craniocaudal direction normal in size contour and attenuation.,The liver appears normal.
normal in contour and enhancement without focal lesions hypoattenuation of the hepatic parenchyma is consistent with hepatic steatosis.,there is increased amount of fat in the liver.
the liver is of normal size with homogenous parenchymal attenuation and enhancement.,The liver appears normal.
cirrhotic hepatic morphology.,the liver shows bumpynodular surface which can be seen with cirrhosis.
subcentimeter cyst in the right hepatic lobe.,there are one or more cysts in the liver which is a benign finding that can be seen in many people.
there are areas of focal nonenhancement in the right lobe of the liver series image and with the larger area in the posterior right lobe of the liver measuring x cm axially with peripheral nodular enhancement suggestive of a hemangioma.,there are one or more lesions in the liver.
normal in size and contour with scattered hepatic cysts the largest in segment ii measuring cm series image.,there are one or more lesions in the liver some of which are benign cysts while others that are smaller and cannot be determined based on this study.
redemonstrated compensatory hypertrophy of the caudate lobe.,The liver appears normal.
